,본부명,지사명,노선명,구간,방향,5km,발생건수,위도,경도
102,광주전남,함평,서해안선,55~60,서울,55.0,3.0,35.2732961,126.5436837
103,대구경북,영주,중앙선,180~185,부산,180.0,5.0,36.4786835,128.6178162
104,대구경북,영주,중앙선,225~230,춘천,225.0,3.0,36.8098916,128.54378
105,대구경북,청송,당진영덕선,115~120,영덕,115.0,3.0,36.4335624,128.6084357
106,부산경남,고성,중부선,15~20,통영,15.0,3.0,34.9752193,128.3813689
107,부산경남,창원,남해제1지선,15~20,산인,15.0,4.0,35.2610778,128.6091613
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
111,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,,,,,,,,,
119,,,,,,,,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
